zip,population,borough,pct_hispanic_or_latino,pct_asian,pct_american_indian_and_alaska_native,pct_black_or_african_american,pct_white,pct_native_hawaiian_and_other_pacific_islander,pct_some_other_race,pct_two_or_more_races,pct_below_poverty
10467,101255,BRONX,52.08,5.68,0.35,30.43,9.24,0.02,0.76,1.44,25.2
10456,92717,BRONX,59.11,0.63,0.6,36.56,1.66,0,0.42,1.02,37.16
10458,85620,BRONX,70.87,2.91,0.11,16.54,7.98,0.06,0.27,1.26,34.02
10453,81716,BRONX,69.16,1.48,0.03,26.49,1.48,0,0.58,0.78,37.77
10468,78881,BRONX,76.82,2.25,0.42,16.1,2.94,0,0.72,0.75,29.75
10462,75714,BRONX,45.96,13.5,0.43,25.05,11.84,0,1.1,2.12,19.09
10452,75452,BRONX,69.44,1.55,0.13,25.8,1.82,0.03,0.41,0.81,36.23
10466,75039,BRONX,23.46,2.84,0.44,67.06,2.98,0.05,1.78,1.4,17.82
10457,74822,BRONX,67.16,0.92,0.12,29.38,1.24,0,0.43,0.77,37.14
10469,72384,BRONX,28.97,6.12,0.2,52.85,10.04,0,0.64,1.19,15.6
10463,71132,BRONX,50.17,3.78,0.16,11.97,31.16,0.06,0.66,2.03,16.71
10472,67948,BRONX,62.67,7.92,0.4,23.84,2.87,0,0.57,1.72,31.16
10473,59579,BRONX,61.29,1.36,0.15,33.29,2.78,0,0.42,0.71,26.48
10460,59432,BRONX,68.84,1.37,0.03,25.57,2.73,0.16,0.5,0.8,35.61
10461,49690,BRONX,48.16,11.74,0.13,7.52,30.72,0.11,0.36,1.24,15.38
10459,48780,BRONX,68.82,0.55,0.18,27.96,1.73,0,0.24,0.54,33.55
10451,48136,BRONX,60.69,1.36,0.1,33.16,3.31,0,0.48,0.9,36.13
10465,43671,BRONX,46.07,2.48,0,8.8,41.25,0.02,0.78,0.61,12.73
10475,42818,BRONX,29.02,2.44,0,59.17,6.64,0,0.64,2.1,11.31
10455,41951,BRONX,71.7,0.92,0.23,24.5,1.57,0.26,0.4,0.42,38.14
10454,37212,BRONX,67.82,0.24,0.28,27.28,3.52,0,0.4,0.45,43.12
10030,31060,BRONX,26.79,2.08,0.02,56.46,10.79,0.33,0.42,3.12,27.58
10471,22422,BRONX,24.24,5.11,0,9.74,57.81,0,1.24,1.87,9.25
10470,15716,BRONX,18.82,2.95,0,40.53,35.52,0,0.75,1.44,12.5
10474,12179,BRONX,62.35,0.17,0.1,35.4,1.54,0,0.38,0.07,47.9
10464,4531,BRONX,42.02,5.01,0,0.02,52.5,0,0.44,0,7.11
